AQC00914000 -14.3167 -170.7667  408.4 AS AASUFOU
AQW00061705 -14.3306 -170.7136    3.7 AS PAGO PAGO WSO AP               GSN     91765
CAW00064757  44.2325  -79.7811  246.0 ON EGBERT 1 W
CQC00914080  15.2136  145.7497  252.1 MP CAPITOL HILL 1
CQC00914801  14.1717  145.2428  179.2 MP ROTA AP                                91221
CQC00914855  15.1189  145.7294   65.5 MP SAIPAN INTL AP                         91232
CQC00914874  15.0000  145.6333   81.7 MP TINIAN                                 91231
FMC00914213   9.4508  138.0620   15.2 FM GILMAN
FMC00914325   1.0833  154.8000    2.7 FM KAPINGAMARANGI
FMC00914395   5.3544  162.9533    2.1 FM KOSRAE                                 91355
FMC00914419   5.5167  153.8167    1.5 FM LUKUNOCH
FMC00914429   9.4833  138.0833   10.1 FM LUWEECH
FMC00914446   9.6053  138.1786   14.9 FM MAAP
FMC00914482   6.8456  158.3064    9.1 FM METALANIM
FMC00914585   9.5742  138.1108    3.0 FM NORTH FANIF
FMC00914590   3.8500  155.0167    2.4 FM NUKUORO                                91425
FMC00914705   6.9053  158.1586   45.7 FM PAIES-KITTI
FMC00914720   6.2167  160.7000    2.4 FM PINGELAP
FMC00914761   7.3500  149.2000    2.1 FM POLOWAT                                91324
FMC00914808   9.6244  138.1592   19.8 FM RUMUNG
FMC00914831   9.5500  138.1500   21.3 FM TAMIL
FMC00914892  10.0333  139.8000    1.8 FM ULITHI
FMC00914898   5.2739  162.9742    4.0 FM UTWA
FMC00914911   7.3833  143.9167    2.1 FM WOLEAI ATOLL                           91317
FMW00040308   9.4833  138.0833   13.4 FM YAP ISLAND WSO AP              GSN     91413
FMW00040504   6.9667  158.2167   36.6 FM POHNPEI WSO                    GSN     91348
FMW00040505   7.4500  151.8333    1.5 FM CHUUK WSO AP                   GSN     91334
